claim_id,report_section,claim,case_ids,source_urls,confidence,notes
ER-01,Report 2 / Executive summary,The complaint corpus contains 80 counted public complaints through 2026-04-19.,CORPUS,,high,Computed from the canonical corpus after exclusions for X corroboration and an explicit cross-post duplicate.
ER-02,Report 2 / Executive summary,"74 counted complaints include explicit amounts totaling $562,081.08.",CORPUS,,high,Computed from quantified cases only.
ER-03,Report 2 / Executive summary,"The quantified corpus splits into $295,178.56 from more fully documented forum/mediation cases and $266,902.52 from Trustpilot-style claimed amounts.",CORPUS,,high,Amount-status split is based on source-type and preserved provenance.
ER-04,Report 2 / Outcomes,Only 4 of 80 counted complaints are marked resolved (5.0%).,BTC-007|BTC-010|BTC-014|BT-018,https://bitcointalk.org/index.php?topic=5489049.0 | https://bitcointalk.org/index.php?topic=5489760.60 | https://bitcointalk.org/index.php?topic=5538532.0 | https://bitcointalk.org/index.php?topic=5574081.0,high,Resolution rate is computed from the canonical corpus status field.
ER-05,Report 2 / Pattern analysis,"Multiple-account accusations recur across Bitcointalk, Casino Guru, and Trustpilot complaints.",BTC-002|BT-016|CG-004|CG-006|TP-049,https://bitcointalk.org/index.php?topic=5463996.40 | https://bitcointalk.org/index.php?topic=5543348.0;wap | https://casino.guru/complaints/rollbit-casino-player-s-account-has-been-closed | https://casino.guru/complaints/rollbit-casino-player-s-withdrawal-is-blocked-for | https://www.trustpilot.com/review/www.rollbit.com,high,Representative cross-source examples.
ER-06,Report 2 / Pattern analysis,Several complaints describe KYC or compliance escalation only after a withdrawal request or winning period.,BTC-005|BT-017|CG-006|BT-018|TP-047,https://bitcointalk.org/index.php?topic=5503600.0 | https://bitcointalk.org/index.php?topic=5539143.0;wap | https://casino.guru/complaints/rollbit-casino-player-s-withdrawal-is-blocked-for | https://bitcointalk.org/index.php?topic=5574081.0 | https://www.trustpilot.com/review/www.rollbit.com,high,Representative cases from 2024-2026.
ER-07,Report 2 / Source quality,Casino Guru repeatedly described Rollbit complaints as unresolved under a no-reaction or non-cooperation pattern.,CG-004|CG-005|CG-006,https://casino.guru/complaints/rollbit-casino-player-s-account-has-been-closed | https://casino.guru/complaints/rollbit-casino-player-s-withdrawals-are-blocked-by | https://casino.guru/complaints/rollbit-casino-player-s-withdrawal-is-blocked-for,high,Each cited complaint page includes public closure language from Casino Guru.
ER-08,Report 2 / Timeline,Counted complaints continued into April 2026.,TP-046|TP-047|TP-048|TP-049,https://www.trustpilot.com/review/www.rollbit.com,medium,These are Trustpilot-sourced amounts and remain classified as claimed rather than confirmed.
ER-09,Report 3 / X corroboration,"Selected X threads mirror the same withdrawal-block, KYC, and staff-conduct themes seen in the complaint corpus but are not counted as separate complaint totals.",X-001,https://x.com/robertgambaskr/status/2029872445662937303 | https://x.com/robertgambaskr/status/1947015657050009696 | https://x.com/YtZlashy/status/1731639780713103506,medium,Used as corroboration only to avoid double counting.
ER-10,Report 0 / Synthesis,The complaint corpus is consistent with a counterparty-risk thesis even without claiming that public treasury wallets are empty.,ER-01|ER-02|ER-05|ER-06,,high,Synthesis claim built from the corpus and the on-chain report; not a standalone factual datapoint.
